gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c
297,407717825,407870893,153068,5.184884407707
298,407870893,409716889,1845996,6.266230755639
299,409716889,411567053,1850164,6.267210226316
300,411567053,413540857,1973804,6.295304024755
301,413540857,413840165,299308,5.476118324957
302,413840165,414854773,1014608,6.006298282328
303,414854773,417563213,2708440,6.432719219116
304,417563213,419852801,2289588,6.359757340233
305,419852801,421725685,1872884,6.272510879500
306,421725685,422053645,327960,5.515820877740
307,422053645,423381005,1327360,6.122988726037
308,423381005,423602737,221732,5.345828374308
309,423602737,424710449,1107712,6.044426860511
310,424710449,425908801,1198352,6.078584405034
311,425908801,427795129,1886328,6.275617211309
312,427795129,430653161,2858032,6.456067087067
313,430653161,431993965,1340804,6.127365296912
314,431993965,432008165,14200,4.152288344383
315,432008165,433336853,1328688,6.123423012706
316,433336853,434681825,1344972,6.128713243170
317,434681825,435811877,1130052,6.053098428256
318,435811877,438150893,2339016,6.369033192603
319,438150893,439339405,1188512,6.075003571009
320,439339405,440064109,724704,5.860160658411
321,440064109,440693653,629544,5.799026089153
322,440693653,441981493,1287840,6.109861910048
323,441981493,443408401,1426908,6.154395972848
324,443408401,444336985,928584,5.967821196268
325,444336985,446263645,1926660,6.284805080949
326,446263645,448112377,1848732,6.266873958559
327,448112377,448194473,82096,4.914321997311
328,448194473,449480069,1285596,6.109104512495
329,449480069,450566441,1086372,6.035978563635
330,450566441,450849845,283404,5.452405975642
331,450849845,452221705,1371860,6.137309793346
332,452221705,454450817,2229112,6.348131889817
333,454450817,456839261,2388444,6.378115063172
334,456839261,456972077,132816,5.123250396517
335,456972077,458353213,1381136,6.140236445517
336,458353213,458792809,439596,5.643053732009
337,458792809,459736433,943624,5.974798978139
338,459736433,461121737,1385304,6.141545088227
339,461121737,463155445,2033708,6.308288597017
340,463155445,465122437,1966992,6.293802593594
341,465122437,465918505,796068,5.900950166687
342,465918505,467093597,1175092,6.070071869610
343,467093597,467313085,219488,5.341410781178
344,467313085,469514993,2201908,6.342799169346
345,469514993,470108497,593504,5.773423650287
346,470108497,473480033,3371536,6.527827801271
347,473480033,474951661,1471628,6.167798042362
348,474951661,475917905,966244,5.985086810135
349,475917905,476359685,441780,5.645206050860
350,476359685,477769793,1410108,6.149252376491
351,477769793,477911785,141992,5.152263876399
352,477911785,479181985,1270200,6.103872108403
353,479181985,479909833,727848,5.862040692976
354,479909833,482364181,2454348,6.389936141017
355,482364181,484071545,1707364,6.232326120025
356,484071545,484371505,299960,5.477063344928
