gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
186,254806477,255838069,1031592,6.013507965524,4446,15331,1,1,4455,15362,2,1
187,255838069,258337061,2498992,6.397764865826,4455,15362,2,1,6331,21831,1,2
188,258337061,259806625,1469564,6.167188504489,6331,21831,1,2,6349,21893,3,2
189,259806625,261497977,1691352,6.228234001299,6349,21893,3,2,4504,15531,1,1
190,261497977,262543013,1045036,6.019131251530,4504,15531,1,1,4513,15562,2,1
191,262543013,263092141,549128,5.739673588921,4513,15562,2,1,6389,22031,1,2
192,263092141,263590133,497992,5.697222366085,6389,22031,1,2,4522,15593,3,1
193,263590133,264575149,985016,5.993443284970,4522,15593,3,1,6407,22093,3,2
194,264575149,267890585,3315436,6.520540648862,6407,22093,3,2,6447,22231,1,2
195,267890585,268276205,385620,5.586159550294,6447,22231,1,2,4562,15731,1,1
196,268276205,269334685,1058480,6.024682656430,4562,15731,1,1,4571,15762,2,1
197,269334685,270395249,1060564,6.025536881253,4571,15762,2,1,4580,15793,3,1
198,270395249,272732393,2337144,6.368685471690,4580,15793,3,1,6505,22431,1,2
199,272732393,274242289,1509896,6.178947034590,6505,22431,1,2,6523,22493,3,2
200,274242289,275141161,898872,5.953697852299,6523,22493,3,2,4620,15931,1,1
201,275141161,276213085,1071924,6.030163994731,4620,15931,1,1,4629,15962,2,1
202,276213085,277617565,1404480,6.147515559165,4629,15962,2,1,6563,22631,1,2
203,277617565,279140905,1523340,6.182796845978,6563,22631,1,2,6581,22693,3,2
204,279140905,282092845,2951940,6.470107525938,6581,22693,3,2,4678,16131,1,1
205,282092845,282546101,453256,5.656343561802,4678,16131,1,1,6621,22831,1,2
206,282546101,283178213,632112,5.800794035043,6621,22831,1,2,4687,16162,2,1
207,283178213,284265665,1087452,6.036410096344,4687,16162,2,1,4696,16193,3,1
208,284265665,287518001,3252336,6.512195406359,4696,16193,3,1,6679,23031,1,2
209,287518001,289068229,1550228,6.190395576790,6679,23031,1,2,6697,23093,3,2
210,289068229,289131257,63028,4.799533526343,6697,23093,3,2,4736,16331,1,1
211,289131257,290230069,1098812,6.040923393655,4736,16331,1,1,4745,16362,2,1
212,290230069,291330965,1100896,6.041746293759,4745,16362,2,1,4754,16393,3,1
213,291330965,292533265,1202300,6.080012847108,4754,16393,3,1,6737,23231,1,2
214,292533265,294096937,1563672,6.194145659511,6737,23231,1,2,6755,23293,3,2
215,294096937,296256397,2159460,6.334345163956,6755,23293,3,2,4794,16531,1,1
216,296256397,297368653,1112256,6.046204757203,4794,16531,1,1,4803,16562,2,1
217,297368653,297591893,223240,5.348772013845,4803,16562,2,1,6795,23431,1,2
218,297591893,302693885,5101992,6.707739773294,6795,23431,1,2,6853,23631,1,2
219,302693885,303468265,774380,5.888954127872,6853,23631,1,2,4852,16731,1,1
220,303468265,304284445,816180,5.911785948443,4852,16731,1,1,6871,23693,3,2
221,304284445,304593965,309520,5.490688716713,6871,23693,3,2,4861,16762,2,1
222,304593965,305721749,1127784,6.052225928911,4861,16762,2,1,4870,16793,3,1
223,305721749,307839241,2117492,6.325821778218,4870,16793,3,1,6911,23831,1,2
224,307839241,309443245,1604004,6.205205446975,6911,23831,1,2,6929,23893,3,2
225,309443245,310766861,1323616,6.121762008314,6929,23893,3,2,4910,16931,1,1
226,310766861,311906005,1139144,6.056578627022,4910,16931,1,1,4919,16962,2,1
227,311906005,313027961,1121956,6.049975825430,4919,16962,2,1,6969,24031,1,2
228,313027961,313047233,19272,4.284926786990,6969,24031,1,2,4928,16993,3,1
229,313047233,318152185,5104952,6.707991662930,4928,16993,3,1,4968,17131,1,1
230,318152185,318260045,107860,5.032860415952,4968,17131,1,1,7027,24231,1,2
231,318260045,319304773,1044728,6.019003234490,7027,24231,1,2,4977,17162,2,1
232,319304773,319890937,586164,5.768019142179,4977,17162,2,1,7045,24293,3,2
233,319890937,323535493,3644556,6.561644627717,7045,24293,3,2,7085,24431,1,2
234,323535493,325179829,1644336,6.215990565051,7085,24431,1,2,7103,24493,3,2
235,325179829,325624237,444408,5.647781868281,7103,24493,3,2,5026,17331,1,1
236,325624237,326790269,1166032,6.066710469147,5026,17331,1,1,5035,17362,2,1
237,326790269,327958385,1168116,6.067485972621,5035,17362,2,1,5044,17393,3,1
238,327958385,328854305,895920,5.952269231638,5044,17393,3,1,7143,24631,1,2
239,328854305,333183017,4328712,6.636358692080,7143,24631,1,2,5084,17531,1,1
240,333183017,334216481,1033464,6.014295352880,5084,17531,1,1,7201,24831,1,2
241,334216481,334362493,146012,5.164388549754,7201,24831,1,2,5093,17562,2,1
242,334362493,335544053,1181560,6.072455780143,5093,17562,2,1,5102,17593,3,1
243,335544053,335887705,343652,5.536118875777,5102,17593,3,1,7219,24893,3,2
244,335887705,339622021,3734316,6.572211065421,7219,24893,3,2,7259,25031,1,2
245,339622021,340828525,1206504,6.081528766092,7259,25031,1,2,5142,17731,1,1
246,340828525,341306689,478164,5.679576875858,5142,17731,1,1,7277,25093,3,2
247,341306689,342021445,714756,5.854157809719,7277,25093,3,2,5151,17762,2,1
248,342021445,345070925,3049480,6.484225789385,5151,17762,2,1,7317,25231,1,2
249,345070925,348471317,3400392,6.531528985755,7317,25231,1,2,7353,25355,5,2
250,348471317,348560761,89444,4.951551212938,7353,25355,5,2,5200,17931,1,1
251,348560761,349767125,1206364,6.081478368616,5200,17931,1,1,5209,17962,2,1
252,349767125,350563193,796068,5.900950166687,5209,17962,2,1,7375,25431,1,2
253,350563193,350975573,412380,5.615297594293,7375,25431,1,2,5218,17993,3,1
254,350975573,352274749,1299176,6.113667989142,5218,17993,3,1,7393,25493,3,2
255,352274749,353990473,1715724,6.234447426335,7393,25493,3,2,7411,25555,5,2
256,353990473,356098825,2108352,6.323943120248,7411,25555,5,2,7433,25631,1,2
257,356098825,356379725,280900,5.448551739202,7433,25631,1,2,5258,18131,1,1
258,356379725,357599533,1219808,6.086291477312,5258,18131,1,1,5267,18162,2,1
259,357599533,357823825,224292,5.350813783535,5267,18162,2,1,7451,25693,3,2
260,357823825,358821425,997600,5.998956440470,7451,25693,3,2,5276,18193,3,1
